Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Статус;Банковский идентификационный номер;2017 - 2мес., Прибыль (убыток) до налогообложения, RUB;2017 - 3мес., Прибыль (убыток) до налогообложения, RUB;2017 - 4мес., Прибыль (убыток) до налогообложения, RUB;2017 - 5мес., Прибыль (убыток) до налогообложения, RUB;2017 - 6мес., Прибыль (убыток) до налогообложения, RUB;2017 - 7мес., Прибыль (убыток) до налогообложения, RUB;2017 - 8мес., Прибыль (убыток) до налогообложения, RUB;2017 - 9мес., Прибыль (убыток) до налогообложения, RUB;2017 - 10мес., Прибыль (убыток) до налогообложения, RUB;2017 - 11мес., Прибыль (убыток) до налогообложения, RUB;2017 - 12мес., Прибыль (убыток) до налогообложения, RUB;2018 - 1мес., Прибыль (убыток) до налогообложения, RUB;2017 - 2мес., Коррсчета (ЛОРО), RUB;2017 - 3мес., Коррсчета (ЛОРО), RUB;2017 - 4мес., Коррсчета (ЛОРО), RUB;2017 - 5мес., Коррсчета (ЛОРО), RUB;2017 - 6мес., Коррсчета (ЛОРО), RUB;2017 - 7мес., Коррсчета (ЛОРО), RUB;2017 - 8мес., Коррсчета (ЛОРО), RUB;2017 - 9мес., Коррсчета (ЛОРО), RUB;2017 - 10мес., Коррсчета (ЛОРО), RUB;2017 - 11мес., Коррсчета (ЛОРО), RUB;2017 - 12мес., Коррсчета (ЛОРО), RUB;2018 - 1мес., Коррсчета (ЛОРО), RUB;2017 - 2мес., Кредиты других банков (МБК), RUB;2017 - 3мес., Кредиты других банков (МБК), RUB;2017 - 4мес., Кредиты других банков (МБК), RUB;2017 - 5мес., Кредиты других банков (МБК), RUB;2017 - 6мес., Кредиты других банков (МБК), RUB;2017 - 7мес., Кредиты других банков (МБК), RUB;2017 - 8мес., Кредиты других банков (МБК), RUB;2017 - 9мес., Кредиты других банков (МБК), RUB;2017 - 10мес., Кредиты других банков (МБК), RUB;2017 - 11мес., Кредиты других банков (МБК), RUB;2017 - 12мес., Кредиты других банков (МБК), RUB;2018 - 1мес., Кредиты других банков (МБК), RUB;2017 - 2мес., Средства клиентов, RUB;2017 - 3мес., Средства клиентов, RUB;2017 - 4мес., Средства клиентов, RUB;2017 - 5мес., Средства клиентов, RUB;2017 - 6мес., Средства клиентов, RUB;2017 - 7мес., Средства клиентов, RUB;2017 - 8мес., Средства клиентов, RUB;2017 - 9мес., Средства клиентов, RUB;2017 - 10мес., Средства клиентов, RUB;2017 - 11мес., Средства клиентов, RUB;2017 - 12мес., Средства клиентов, RUB;2018 - 1мес., Средства клиентов, RUB;2017 - 2мес., Средства организаций на расчетных счетах, RUB;2017 - 3мес., Средства организаций на расчетных счетах, RUB;2017 - 4мес., Средства организаций на расчетных счетах, RUB;2017 - 5мес., Средства организаций на расчетных счетах, RUB;2017 - 6мес., Средства организаций на расчетных счетах, RUB;2017 - 7мес., Средства организаций на расчетных счетах, RUB;2017 - 8мес., Средства организаций на расчетных счетах, RUB;2017 - 9мес., Средства организаций на расчетных счетах, RUB;2017 - 10мес., Средства организаций на расчетных счетах, RUB;2017 - 11мес., Средства организаций на расчетных счетах, RUB;2017 - 12мес., Средства организаций на расчетных счетах, RUB;2018 - 1мес., Средства организаций на расчетных счетах, RUB;2017 - 2мес., Депозиты юридических лиц, RUB;2017 - 3мес., Депозиты юридических лиц, RUB;2017 - 4мес., Депозиты юридических лиц, RUB;2017 - 5мес., Депозиты юридических лиц, RUB;2017 - 6мес., Депозиты юридических лиц, RUB;2017 - 7мес., Депозиты юридических лиц, RUB;2017 - 8мес., Депозиты юридических лиц, RUB;2017 - 9мес., Депозиты юридических лиц, RUB;2017 - 10мес., Депозиты юридических лиц, RUB;2017 - 11мес., Депозиты юридических лиц, RUB;2017 - 12мес., Депозиты юридических лиц, RUB;2018 - 1мес., Депозиты юридических лиц, RUB;2017 - 2мес., Вклады физических лиц, RUB;2017 - 3мес., Вклады физических лиц, RUB;2017 - 4мес., Вклады физических лиц, RUB;2017 - 5мес., Вклады физических лиц, RUB;2017 - 6мес., Вклады физических лиц, RUB;2017 - 7мес., Вклады физических лиц, RUB;2017 - 8мес., Вклады физических лиц, RUB;2017 - 9мес., Вклады физических лиц, RUB;2017 - 10мес., Вклады физических лиц, RUB;2017 - 11мес., Вклады физических лиц, RUB;2017 - 12мес., Вклады физических лиц, RUB;2018 - 1мес., Вклады физических лиц, RUB;2017 - 2мес., Облигации, RUB;2017 - 3мес., Облигации, RUB;2017 - 4мес., Облигации, RUB;2017 - 5мес., Облигации, RUB;2017 - 6мес., Облигации, RUB;2017 - 7мес., Облигации, RUB;2017 - 8мес., Облигации, RUB;2017 - 9мес., Облигации, RUB;2017 - 10мес., Облигации, RUB;2017 - 11мес., Облигации, RUB;2017 - 12мес., Облигации, RUB;2018 - 1мес., Облигации, RUB;2017 - 2мес., Векселя, RUB;2017 - 3мес., Векселя, RUB;2017 - 4мес., Векселя, RUB;2017 - 5мес., Векселя, RUB;2017 - 6мес., Векселя, RUB;2017 - 7мес., Векселя, RUB;2017 - 8мес., Векселя, RUB;2017 - 9мес., Векселя, RUB;2017 - 10мес., Векселя, RUB;2017 - 11мес., Векселя, RUB;2017 - 12мес., Векселя, RUB;2018 - 1мес., Векселя, RUB;2017 - 2мес., Резервы на возможные потери, RUB;2017 - 3мес., Резервы на возможные потери, RUB;2017 - 4мес., Резервы на возможные потери, RUB;2017 - 5мес., Резервы на возможные потери, RUB;2017 - 6мес., Резервы на возможные потери, RUB;2017 - 7мес., Резервы на возможные потери, RUB;2017 - 8мес., Резервы на возможные потери, RUB;2017 - 9мес., Резервы на возможные потери, RUB;2017 - 10мес., Резервы на возможные потери, RUB;2017 - 11мес., Резервы на возможные потери, RUB;2017 - 12мес., Резервы на возможные потери, RUB;2018 - 1мес., Резервы на возможные потери, RUB;2017 - 2мес., Капитал, RUB;2017 - 3мес., Капитал, RUB;2017 - 4мес., Капитал, RUB;2017 - 5мес., Капитал, RUB;2017 - 6мес., Капитал, RUB;2017 - 7мес., Капитал, RUB;2017 - 8мес., Капитал, RUB;2017 - 9мес., Капитал, RUB;2017 - 10мес., Капитал, RUB;2017 - 11мес., Капитал, RUB;2017 - 12мес., Капитал, RUB;2018 - 1мес., Капитал, RUB;2017 - 2мес., Коэффициент покрытия Кредитного портфеля, %;2017 - 3мес., Коэффициент покрытия Кредитного портфеля, %;2017 - 4мес., Коэффициент покрытия Кредитного портфеля, %;2017 - 5мес., Коэффициент покрытия Кредитного портфеля, %;2017 - 6мес., Коэффициент покрытия Кредитного портфеля, %;2017 - 7мес., Коэффициент покрытия Кредитного портфеля, %;2017 - 8мес., Коэффициент покрытия Кредитного портфеля, %;2017 - 9мес., Коэффициент покрытия Кредитного портфеля, %;2017 - 10мес., Коэффициент покрытия Кредитного портфеля, %;2017 - 11мес., Коэффициент покрытия Кредитного портфеля, %;2017 - 12мес., Коэффициент покрытия Кредитного портфеля, %;2018 - 1мес., Коэффициент покрытия Кредитного портфеля, %;2017 - 2мес., Коэффициент обеспечения Кредитного портфеля, %;2017 - 3мес., Коэффициент обеспечения Кредитного портфеля, %;2017 - 4мес., Коэффициент обеспечения Кредитного портфеля, %;2017 - 5мес., Коэффициент обеспечения Кредитного портфеля, %;2017 - 6мес., Коэффициент обеспечения Кредитного портфеля, %;2017 - 7мес., Коэффициент обеспечения Кредитного портфеля, %;2017 - 8мес., Коэффициент обеспечения Кредитного портфеля, %;2017 - 9мес., Коэффициент обеспечения Кредитного портфеля, %;2017 - 10мес., Коэффициент обеспечения Кредитного портфеля, %;2017 - 11мес., Коэффициент обеспечения Кредитного портфеля, %;2017 - 12мес., Коэффициент обеспечения Кредитного портфеля, %;2018 - 1мес., Коэффициент обеспечения Кредитного портфеля, %;2017 - 2мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2017 - 3мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2017 - 4мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2017 - 5мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2017 - 6мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2017 - 7мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2017 - 8мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2017 - 9мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2017 - 10мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2017 - 11мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2017 - 12мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2018 - 1мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2017 - 2мес., Рентабельность активов-нетто (ROA), %;2017 - 3мес., Рентабельность активов-нетто (ROA), %;2017 - 4мес., Рентабельность активов-нетто (ROA), %;2017 - 5мес., Рентабельность активов-нетто (ROA), %;2017 - 6мес., Рентабельность активов-нетто (ROA), %;2017 - 7мес., Рентабельность активов-нетто (ROA), %;2017 - 8мес., Рентабельность активов-нетто (ROA), %;2017 - 9мес., Рентабельность активов-нетто (ROA), %;2017 - 10мес., Рентабельность активов-нетто (ROA), %;2017 - 11мес., Рентабельность активов-нетто (ROA), %;2017 - 12мес., Рентабельность активов-нетто (ROA), %;2018 - 1мес., Рентабельность активов-нетто (ROA), %;2017 - 2мес., Рентабельность собственного капитала (ROE), %;2017 - 3мес., Рентабельность собственного капитала (ROE), %;2017 - 4мес., Рентабельность собственного капитала (ROE), %;2017 - 5мес., Рентабельность собственного капитала (ROE), %;2017 - 6мес., Рентабельность собственного капитала (ROE), %;2017 - 7мес., Рентабельность собственного капитала (ROE), %;2017 - 8мес., Рентабельность собственного капитала (ROE), %;2017 - 9мес., Рентабельность собственного капитала (ROE), %;2017 - 10мес., Рентабельность собственного капитала (ROE), %;2017 - 11мес., Рентабельность собственного капитала (ROE), %;2017 - 12мес., Рентабельность собственного капитала (ROE), %;2018 - 1мес., Рентабельность собственного капитала (ROE), %
1;ИВАНОВО, АО КБ;В состоянии банкротства;042406705;8 734 000;19 791 000;-4 102 000;13 047 000;1 477 000;-41 735 000;109 507 000;182 498 000;142 453 000;122 733 000;104 458 000;14 690 000;0;0;0;0;0;0;0;0;0;0;0;0;29 088 000;27 854 000;18 569 000;9 284 000;0;0;0;0;0;0;0;0;3 284 348 000;3 196 524 000;3 138 367 000;3 015 484 000;2 989 613 000;2 908 190 000;2 719 979 000;2 698 897 000;2 663 597 000;2 664 419 000;2 637 094 000;2 653 100 000;470 168 000;410 244 000;381 765 000;354 585 000;369 727 000;327 586 000;344 130 000;309 002 000;303 090 000;311 590 000;311 896 000;338 733 000;199 655 000;194 483 000;175 377 000;171 520 000;169 120 000;169 420 000;4 000 000;8 100 000;5 100 000;3 200 000;1 800 000;5 100 000;2 613 065 000;2 590 853 000;2 579 602 000;2 488 011 000;2 449 934 000;2 410 340 000;2 370 961 000;2 379 719 000;2 353 009 000;2 347 571 000;2 321 050 000;2 307 278 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360 296 000;337 719 000;372 130 000;350 019 000;372 603 000;428 856 000;437 677 000;376 935 000;428 258 000;438 070 000;461 538 000;458 027 000;456 337 000;467 651 000;440 474 000;463 196 000;442 851 000;436 266 000;434 884 000;508 268 000;458 833 000;443 833 000;425 932 000;442 229 000;11,93%;11,08%;11,54%;11,26%;12,23%;14,08%;15,15%;13,68%;15,90%;16,61%;16,62%;17,46%;111,38%;110,37%;108,37%;109,27%;108,60%;109,88%;104,80%;105,56%;103,76%;103,04%;98,16%;101,10%;1,72%;1,17%;1,05%;1,36%;1,31%;1,39%;1,86%;2,03%;1,88%;2,76%;2,56%;2,87%;0,78%;0,76%;0,77%;0,75%;0,69%;0,57%;0,36%;0,29%;0,55%;0,92%;1,22%;1,48%;6,25%;6,15%;6,20%;6,12%;5,69%;4,74%;3,03%;2,46%;4,65%;7,70%;10,06%;12,15%
2;СИРИУС (ООО), СИБИРСКИЙ БАНК;В состоянии банкротства;045209875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;НОВОПОКРОВСКИЙ, ООО КБ;В состоянии банкротства;040349808;-71 282 000;28 154 000;-13 238 000;-17 031 000;43 703 000;1 056 000;-126 469 000;-166 747 000;-389 947 000;-940 144 000;;;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;;7 571 219 000;8 023 653 000;8 267 819 000;8 590 547 000;8 567 294 000;8 678 287 000;9 653 542 000;9 038 046 000;8 748 484 000;7 143 621 000;;;433 993 000;748 255 000;570 435 000;634 320 000;565 809 000;650 608 000;1 570 298 000;1 100 171 000;970 017 000;258 493 000;;;121 061 000;181 609 000;299 788 000;404 090 000;386 416 000;220 146 000;258 519 000;217 092 000;100 058 000;100 058 000;;;7 016 144 000;7 093 780 000;7 397 590 000;7 552 112 000;7 615 064 000;7 807 528 000;7 824 720 000;7 720 746 000;7 678 382 000;6 785 001 000;;;0;0;0;0;0;0;0;0;0;0;;;232 965 000;606 392 000;611 324 000;507 522 000;192 377 000;223 516 000;242 534 000;247 372 000;245 132 000;91 205 000;;;552 242 000;498 860 000;560 052 000;585 986 000;610 617 000;661 056 000;849 991 000;909 135 000;1 121 906 000;1 629 348 000;;;1 195 293 000;1 292 507 000;1 247 630 000;1 240 455 000;1 821 820 000;1 802 395 000;1 588 917 000;1 547 158 000;1 319 631 000;;;;6,78%;5,97%;6,59%;6,76%;6,49%;6,95%;8,97%;10,05%;13,00%;19,62%;;;42,27%;47,77%;48,54%;49,06%;43,94%;43,23%;40,35%;41,98%;42,26%;30,58%;;;0,86%;1,31%;1,30%;1,28%;1,94%;0,86%;0,72%;2,24%;2,82%;3,75%;;;0,01%;-0,04%;-0,03%;0,04%;0,04%;0,03%;0,07%;0,02%;-0,14%;-0,39%;;;0,12%;-0,33%;-0,29%;0,34%;0,35%;0,27%;0,61%;0,13%;-1,13%;-3,11%;;
4;РУССКИЙ ИПОТЕЧНЫЙ БАНК (ООО), КБ;В состоянии банкротства;044525526;-217 532 000;31 613 000;-39 877 000;2 179 000;83 511 000;-118 840 000;1 356 000;164 442 000;163 683 000;73 525 000;199 745 000;41 274 000;1 237 000;1 738 000;4 262 000;490 000;1 184 000;670 000;617 000;1 365 000;2 000 000;500 000;451 000;94 000;0;0;0;0;0;0;0;0;0;0;0;0;11 593 349 000;11 520 475 000;11 531 760 000;12 194 626 000;11 248 548 000;11 179 676 000;11 170 713 000;11 152 107 000;11 147 962 000;11 221 429 000;11 883 756 000;11 517 191 000;1 656 096 000;1 425 850 000;1 412 924 000;1 976 815 000;1 093 052 000;1 027 107 000;1 038 639 000;1 143 301 000;1 167 055 000;1 233 836 000;1 299 601 000;1 391 917 000;1 098 540 000;1 154 582 000;983 538 000;1 148 530 000;1 015 137 000;1 049 181 000;1 107 900 000;1 107 600 000;1 133 711 000;1 121 056 000;1 347 169 000;1 079 118 000;8 837 977 000;8 939 037 000;9 134 174 000;9 068 224 000;9 139 332 000;9 102 704 000;9 020 402 000;8 899 848 000;8 846 258 000;8 863 042 000;9 234 869 000;9 043 999 000;0;0;0;0;0;0;0;0;0;0;0;0;25 654 000;25 140 000;6 535 000;6 535 000;46 535 000;46 535 000;21 535 000;21 535 000;21 535 000;12 535 000;12 535 000;6 534 000;1 610 289 000;1 213 865 000;1 278 728 000;1 210 080 000;1 184 491 000;1 386 224 000;1 251 347 000;1 113 722 000;1 096 365 000;1 124 649 000;898 465 000;889 417 000;2 157 426 000;2 413 167 000;2 335 185 000;2 366 428 000;2 444 567 000;2 234 595 000;1 987 926 000;2 147 524 000;2 133 640 000;2 038 628 000;2 155 934 000;2 200 885 000;15,57%;11,65%;12,70%;12,81%;12,51%;14,47%;12,75%;11,77%;11,53%;11,54%;9,00%;9,15%;101,79%;105,35%;104,52%;109,05%;105,13%;103,85%;104,49%;104,41%;105,79%;105,27%;105,93%;109,52%;3,39%;3,13%;4,03%;3,02%;2,53%;3,15%;3,17%;2,82%;2,39%;2,35%;2,07%;2,17%;0,28%;0,19%;0,09%;0,02%;-0,08%;-0,11%;-0,10%;-0,15%;-0,12%;0,00%;0,05%;0,12%;1,81%;1,23%;0,60%;0,16%;-0,52%;-0,71%;-0,64%;-1,00%;-0,82%;-0,01%;0,34%;0,83%
5;ИНКАРОБАНК (АО), АКБ;В состоянии банкротства;044525124;-25 613 000;-13 750 000;-44 698 000;4 549 000;4 056 000;3 246 000;11 829 000;8 340 000;14 148 000;-33 726 000;8 833 000;1 898 000;0;0;0;0;0;0;0;0;0;0;0;0;86 000 000;69 000 000;0;0;0;0;0;0;0;0;0;0;748 044 000;1 013 580 000;965 884 000;1 136 403 000;713 540 000;740 985 000;682 059 000;689 708 000;716 553 000;766 903 000;953 239 000;1 272 485 000;308 859 000;487 518 000;371 365 000;544 655 000;89 222 000;93 690 000;87 990 000;85 406 000;102 438 000;81 194 000;89 070 000;97 140 000;130 000 000;130 000 000;130 000 000;125 000 000;125 000 000;125 000 000;125 000 000;125 000 000;125 000 000;125 000 000;125 000 000;125 000 000;309 097 000;395 974 000;464 431 000;466 660 000;499 230 000;522 207 000;468 981 000;479 214 000;489 027 000;560 621 000;739 081 000;1 050 257 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135 351 000;138 270 000;174 951 000;135 983 000;137 821 000;143 119 000;137 350 000;130 971 000;127 355 000;170 675 000;123 897 000;114 860 000;560 168 000;572 441 000;538 991 000;587 645 000;587 152 000;587 443 000;596 316 000;592 999 000;598 293 000;549 843 000;592 867 000;592 373 000;9,75%;9,93%;15,82%;14,10%;17,86%;17,82%;17,94%;16,58%;17,30%;25,89%;22,54%;14,82%;214,91%;211,54%;209,68%;207,91%;227,77%;200,54%;208,63%;207,84%;206,62%;206,27%;270,43%;195,57%;2,99%;2,95%;2,67%;3,63%;3,03%;2,67%;6,57%;2,78%;3,05%;3,62%;4,18%;3,20%;-3,75%;-4,10%;-3,81%;-3,05%;-2,26%;-1,41%;-0,81%;-0,45%;-0,38%;-0,50%;-0,65%;-0,60%;-11,16%;-11,92%;-10,67%;-8,13%;-5,86%;-3,59%;-2,02%;-1,11%;-0,93%;-1,21%;-1,61%;-1,50%
6;СТЕЛЛА-БАНК, АО АКБ;В состоянии банкротства;046015938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;ФИНАНСОВЫЙ КАПИТАЛ, ООО КБ;В состоянии банкротства;044030741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;МЕЖДУНАРОДНЫЙ РАСЧЕТНЫЙ БАНК, ООО КБ;В состоянии банкротства;044525223;-3 579 000;168 000;7 412 000;5 424 000;2 891 000;-42 027 000;5 613 000;1 118 000;-11 551 000;-8 599 000;6 474 000;-4 743 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438 964 000;446 103 000;450 141 000;510 586 000;490 300 000;503 473 000;512 878 000;543 687 000;541 302 000;637 997 000;635 002 000;652 847 000;233 820 000;240 962 000;234 991 000;290 439 000;280 168 000;293 332 000;307 749 000;281 503 000;279 246 000;375 531 000;365 679 000;398 176 000;205 006 000;205 006 000;215 006 000;220 006 000;210 006 000;210 006 000;205 006 000;262 061 000;261 933 000;262 337 000;269 194 000;254 542 000;138 000;135 000;144 000;141 000;126 000;135 000;123 000;123 000;123 000;129 000;129 000;129 000;0;0;0;0;0;0;0;0;0;0;0;0;5 966 000;38 107 000;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;112 142 000;112 022 000;107 030 000;110 906 000;119 681 000;168 141 000;122 200 000;126 165 000;137 537 000;137 534 000;125 007 000;130 959 000;479 356 000;464 124 000;471 000 000;461 907 000;459 552 000;413 275 000;442 189 000;437 201 000;424 726 000;427 308 000;441 935 000;436 231 000;20,71%;19,39%;19,68%;20,66%;22,59%;24,08%;23,36%;23,44%;25,06%;23,44%;21,67%;23,36%;306,62%;276,67%;279,07%;242,48%;253,39%;262,88%;253,42%;248,79%;226,05%;200,84%;227,69%;237,40%;5,21%;4,82%;5,16%;6,23%;3,11%;3,26%;7,24%;7,82%;7,44%;6,92%;6,11%;8,23%;-0,44%;-0,46%;-0,36%;-0,23%;-0,05%;0,10%;0,06%;-0,04%;-0,04%;-0,14%;-0,32%;-0,39%;-0,86%;-0,87%;-0,68%;-0,43%;-0,09%;0,19%;0,12%;-0,07%;-0,08%;-0,27%;-0,66%;-0,81%
9;АГРОСОЮЗ, ООО КБ;В состоянии банкротства;044525322;2 287 000;3 812 000;5 526 000;6 274 000;8 821 000;6 068 000;8 215 000;8 903 000;10 164 000;10 928 000;12 265 000;853 000;47 000;45 000;44 000;43 000;43 000;42 000;41 000;40 000;38 000;38 000;36 000;35 000;1 146 132 000;1 393 991 000;1 320 481 000;1 327 284 000;1 322 105 000;1 310 354 000;1 372 415 000;1 223 064 000;1 078 357 000;1 117 522 000;227 597 000;0;8 670 736 000;8 615 406 000;8 596 827 000;8 546 870 000;8 796 429 000;8 813 140 000;8 867 949 000;9 229 444 000;9 234 449 000;9 563 201 000;10 029 232 000;9 370 116 000;808 125 000;795 193 000;777 012 000;737 560 000;955 992 000;907 689 000;923 643 000;1 096 961 000;885 683 000;898 724 000;1 021 696 000;523 202 000;135 473 000;124 547 000;132 842 000;90 907 000;92 915 000;189 990 000;226 099 000;319 758 000;171 265 000;309 608 000;302 362 000;294 730 000;7 711 412 000;7 680 854 000;7 654 397 000;7 704 998 000;7 734 206 000;7 702 898 000;7 698 376 000;7 798 524 000;8 165 583 000;8 342 776 000;8 691 536 000;8 548 856 000;0;0;0;0;0;0;0;0;0;0;0;0;88 125 000;14 792 000;14 792 000;13 542 000;9 735 000;2 500 000;1 250 000;1 250 000;1 250 000;0;3 500 000;0;585 067 000;576 891 000;588 035 000;586 762 000;603 021 000;607 608 000;627 934 000;628 696 000;624 507 000;623 226 000;632 442 000;666 392 000;1 219 342 000;1 218 862 000;1 220 835 000;1 222 902 000;1 226 169 000;1 226 931 000;1 228 588 000;1 228 133 000;1 230 379 000;1 229 876 000;1 172 149 000;1 227 739 000;7,94%;7,12%;7,04%;6,67%;6,36%;6,13%;6,13%;6,43%;6,48%;7,15%;7,55%;8,71%;151,24%;153,78%;140,38%;117,86%;118,56%;115,88%;109,21%;109,34%;108,99%;117,65%;107,03%;97,74%;6,08%;7,99%;6,60%;6,07%;5,14%;4,88%;4,68%;5,07%;5,63%;4,99%;3,58%;3,53%;0,05%;0,04%;0,04%;0,04%;0,04%;0,05%;0,05%;0,05%;0,05%;0,05%;0,05%;0,06%;0,48%;0,45%;0,40%;0,40%;0,44%;0,48%;0,50%;0,50%;0,51%;0,52%;0,53%;0,58%
10;БТФ, АО КБ;В состоянии банкротства;044525279;-49 592 000;-47 758 000;-56 788 000;-56 088 000;-68 229 000;-282 080 000;-279 254 000;-284 794 000;-288 757 000;-348 468 000;-351 293 000;-4 323 000;84 000;91 000;93 000;94 000;97 000;105 000;103 000;100 000;102 000;100 000;105 000;0;28 969 000;28 189 000;28 492 000;28 258 000;29 543 000;29 772 000;29 365 000;29 008 000;28 936 000;29 166 000;28 800 000;28 146 000;4 597 617 000;4 577 410 000;4 457 355 000;4 520 052 000;4 397 956 000;3 820 597 000;3 369 849 000;3 358 908 000;3 297 645 000;3 523 774 000;3 354 780 000;3 385 833 000;677 949 000;662 346 000;667 756 000;773 143 000;627 473 000;629 297 000;355 257 000;364 795 000;432 870 000;695 161 000;401 531 000;486 109 000;474 070 000;465 454 000;496 424 000;508 143 000;494 827 000;326 569 000;326 489 000;383 446 000;361 691 000;347 508 000;493 112 000;479 045 000;3 444 134 000;3 448 270 000;3 291 146 000;3 237 671 000;3 274 393 000;2 863 592 000;2 687 009 000;2 605 316 000;2 501 773 000;2 479 385 000;2 458 729 000;2 416 483 000;0;0;0;0;0;0;0;0;0;0;0;0;282 023 000;205 080 000;199 090 000;214 660 000;216 804 000;109 063 000;171 899 000;155 738 000;165 911 000;164 942 000;154 248 000;147 019 000;195 667 000;183 696 000;224 072 000;189 759 000;197 290 000;401 028 000;340 499 000;336 223 000;329 257 000;366 557 000;366 271 000;332 461 000;815 991 000;803 743 000;762 615 000;752 058 000;742 164 000;731 385 000;734 290 000;720 133 000;711 122 000;710 579 000;705 654 000;689 603 000;3,60%;3,22%;4,49%;3,58%;3,61%;9,99%;8,23%;8,25%;8,32%;8,49%;8,78%;8,93%;118,92%;124,90%;118,20%;122,21%;122,56%;115,35%;112,45%;113,37%;121,30%;125,91%;127,81%;137,47%;7,49%;7,78%;6,85%;7,46%;6,20%;5,72%;3,57%;3,48%;3,84%;5,16%;3,99%;4,08%;-1,12%;-1,16%;-1,22%;-1,23%;-1,16%;-1,13%;-1,28%;-1,62%;-1,95%;-2,34%;-2,87%;-3,51%;-7,80%;-8,10%;-8,59%;-8,62%;-8,17%;-7,92%;-9,03%;-11,38%;-13,54%;-16,00%;-19,40%;-23,53%
