Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Регистрационный номер;Наименование полное;Адрес (место нахождения);Руководитель ФИО;Дата регистрации;Возраст банка;Дата ликвидации;Статус;Банковский идентификационный номер;Регион регистрации;Организационно-правовая форма;Форма собственности;Уставный капитал, RUB;Важная информация;2015 - 2мес., Чистые активы, RUB;2015 - 3мес., Чистые активы, RUB;2015 - 4мес., Чистые активы, RUB;2015 - 5мес., Чистые активы, RUB;2015 - 6мес., Чистые активы, RUB;2015 - 7мес., Чистые активы, RUB;2015 - 8мес., Чистые активы, RUB;2015 - 9мес., Чистые активы, RUB;2015 - 10мес., Чистые активы, RUB;2015 - 11мес., Чистые активы, RUB;2015 - 12мес., Чистые активы, RUB;2016 - 1мес., Чистые активы, RUB;2015 - 2мес., Счета в Банке России, RUB;2015 - 3мес., Счета в Банке России, RUB;2015 - 4мес., Счета в Банке России, RUB;2015 - 5мес., Счета в Банке России, RUB;2015 - 6мес., Счета в Банке России, RUB;2015 - 7мес., Счета в Банке России, RUB;2015 - 8мес., Счета в Банке России, RUB;2015 - 9мес., Счета в Банке России, RUB;2015 - 10мес., Счета в Банке России, RUB;2015 - 11мес., Счета в Банке России, RUB;2015 - 12мес., Счета в Банке России, RUB;2016 - 1мес., Счета в Банке России, RUB;2015 - 2мес., Коррсчета (НОСТРО), RUB;2015 - 3мес., Коррсчета (НОСТРО), RUB;2015 - 4мес., Коррсчета (НОСТРО), RUB;2015 - 5мес., Коррсчета (НОСТРО), RUB;2015 - 6мес., Коррсчета (НОСТРО), RUB;2015 - 7мес., Коррсчета (НОСТРО), RUB;2015 - 8мес., Коррсчета (НОСТРО), RUB;2015 - 9мес., Коррсчета (НОСТРО), RUB;2015 - 10мес., Коррсчета (НОСТРО), RUB;2015 - 11мес., Коррсчета (НОСТРО), RUB;2015 - 12мес., Коррсчета (НОСТРО), RUB;2016 - 1мес., Коррсчета (НОСТРО), RUB;2015 - 2мес., Ценные бумаги, RUB;2015 - 3мес., Ценные бумаги, RUB;2015 - 4мес., Ценные бумаги, RUB;2015 - 5мес., Ценные бумаги, RUB;2015 - 6мес., Ценные бумаги, RUB;2015 - 7мес., Ценные бумаги, RUB;2015 - 8мес., Ценные бумаги, RUB;2015 - 9мес., Ценные бумаги, RUB;2015 - 10мес., Ценные бумаги, RUB;2015 - 11мес., Ценные бумаги, RUB;2015 - 12мес., Ценные бумаги, RUB;2016 - 1мес., Ценные бумаги, RUB;2015 - 2мес., Кредиты, RUB;2015 - 3мес., Кредиты, RUB;2015 - 4мес., Кредиты, RUB;2015 - 5мес., Кредиты, RUB;2015 - 6мес., Кредиты, RUB;2015 - 7мес., Кредиты, RUB;2015 - 8мес., Кредиты, RUB;2015 - 9мес., Кредиты, RUB;2015 - 10мес., Кредиты, RUB;2015 - 11мес., Кредиты, RUB;2015 - 12мес., Кредиты, RUB;2016 - 1мес., Кредиты, RUB;2015 - 2мес., Кредиты организациям, RUB;2015 - 3мес., Кредиты организациям, RUB;2015 - 4мес., Кредиты организациям, RUB;2015 - 5мес., Кредиты организациям, RUB;2015 - 6мес., Кредиты организациям, RUB;2015 - 7мес., Кредиты организациям, RUB;2015 - 8мес., Кредиты организациям, RUB;2015 - 9мес., Кредиты организациям, RUB;2015 - 10мес., Кредиты организациям, RUB;2015 - 11мес., Кредиты организациям, RUB;2015 - 12мес., Кредиты организациям, RUB;2016 - 1мес., Кредиты организациям, RUB;2015 - 2мес., Кредиты физическим лицам, RUB;2015 - 3мес., Кредиты физическим лицам, RUB;2015 - 4мес., Кредиты физическим лицам, RUB;2015 - 5мес., Кредиты физическим лицам, RUB;2015 - 6мес., Кредиты физическим лицам, RUB;2015 - 7мес., Кредиты физическим лицам, RUB;2015 - 8мес., Кредиты физическим лицам, RUB;2015 - 9мес., Кредиты физическим лицам, RUB;2015 - 10мес., Кредиты физическим лицам, RUB;2015 - 11мес., Кредиты физическим лицам, RUB;2015 - 12мес., Кредиты физическим лицам, RUB;2016 - 1мес., Кредиты физическим лицам, RUB;2015 - 2мес., Кредиты другим банкам (МБК), RUB;2015 - 3мес., Кредиты другим банкам (МБК), RUB;2015 - 4мес., Кредиты другим банкам (МБК), RUB;2015 - 5мес., Кредиты другим банкам (МБК), RUB;2015 - 6мес., Кредиты другим банкам (МБК), RUB;2015 - 7мес., Кредиты другим банкам (МБК), RUB;2015 - 8мес., Кредиты другим банкам (МБК), RUB;2015 - 9мес., Кредиты другим банкам (МБК), RUB;2015 - 10мес., Кредиты другим банкам (МБК), RUB;2015 - 11мес., Кредиты другим банкам (МБК), RUB;2015 - 12мес., Кредиты другим банкам (МБК), RUB;2016 - 1мес., Кредиты другим банкам (МБК), RUB;2015 - 2мес., Основные средства, RUB;2015 - 3мес., Основные средства, RUB;2015 - 4мес., Основные средства, RUB;2015 - 5мес., Основные средства, RUB;2015 - 6мес., Основные средства, RUB;2015 - 7мес., Основные средства, RUB;2015 - 8мес., Основные средства, RUB;2015 - 9мес., Основные средства, RUB;2015 - 10мес., Основные средства, RUB;2015 - 11мес., Основные средства, RUB;2015 - 12мес., Основные средства, RUB;2016 - 1мес., Основные средства, RUB;2015 - 2мес., Учтённые векселя, RUB;2015 - 3мес., Учтённые векселя, RUB;2015 - 4мес., Учтённые векселя, RUB;2015 - 5мес., Учтённые векселя, RUB;2015 - 6мес., Учтённые векселя, RUB;2015 - 7мес., Учтённые векселя, RUB;2015 - 8мес., Учтённые векселя, RUB;2015 - 9мес., Учтённые векселя, RUB;2015 - 10мес., Учтённые векселя, RUB;2015 - 11мес., Учтённые векселя, RUB;2015 - 12мес., Учтённые векселя, RUB;2016 - 1мес., Учтённые векселя, RUB
1;ИВАНОВО, АО КБ;1763;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""ИВАНОВО""";153002, Ивановская обл, г. Иваново, проспект Ленина, д. 31А;Морковкин Артемий Львович;13.04.1992;27,0;;В состоянии банкротства;042406705;Ивановская область;Непубличные акционерные общества;Совместная частная и иностранная собственность;142 500 000;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (с правом привлечения во вклады денежных средств физических лиц) и на осуществление банковских операций с драгоценными металлами от 05.04.2019;2 719 734 000;2 808 217 000;2 811 454 000;2 934 215 000;3 028 117 000;3 033 563 000;3 041 586 000;2 987 457 000;3 040 784 000;3 223 292 000;3 335 716 000;3 313 796 000;349 871 000;366 488 000;352 203 000;418 465 000;410 472 000;453 381 000;322 322 000;354 006 000;386 343 000;509 788 000;374 564 000;476 142 000;23 927 000;34 108 000;42 374 000;54 510 000;35 774 000;41 550 000;96 055 000;28 113 000;72 668 000;47 891 000;145 412 000;64 543 000;84 934 000;104 492 000;101 993 000;93 027 000;93 922 000;95 176 000;79 528 000;70 055 000;29 623 000;29 909 000;30 342 000;30 660 000;1 917 243 000;1 977 979 000;2 007 298 000;2 047 758 000;2 102 360 000;2 096 528 000;2 188 241 000;2 150 044 000;2 221 816 000;2 279 101 000;2 423 742 000;2 368 611 000;1 148 541 000;1 226 468 000;1 269 919 000;1 285 543 000;1 326 112 000;1 359 245 000;1 390 764 000;1 376 717 000;1 442 461 000;1 482 683 000;1 550 930 000;1 496 260 000;579 226 000;613 648 000;651 100 000;673 238 000;683 136 000;696 179 000;708 382 000;732 757 000;740 980 000;758 940 000;836 847 000;835 486 000;151 029 000;100 982 000;50 868 000;50 890 000;50 933 000;991 000;51 117 000;1 113 000;889 000;914 000;1 006 000;1 037 000;17 296 000;17 329 000;17 518 000;17 196 000;16 900 000;18 569 000;18 634 000;18 572 000;18 387 000;18 583 000;18 009 000;20 708 000;0;0;0;0;0;0;0;0;0;0;0;0
2;СИРИУС (ООО), СИБИРСКИЙ БАНК;3506;"СИБИРСКИЙ БАНК ""СИРИУС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";644043, Омская обл, г. Омск, ул. Фрунзе, д. 1 корп. 4(Торговый центр «Миллениум»);Осипов Павел Юрьевич;20.02.2012;7,0;;В состоянии банкротства;045209875;Омская область;Общества с ограниченной ответственностью;Частная собственность;200 000 000;Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 23.01.2017;3 059 354 000;3 003 337 000;2 833 963 000;2 808 377 000;2 739 023 000;2 539 547 000;2 567 529 000;2 701 528 000;2 259 354 000;2 200 412 000;2 029 908 000;1 983 158 000;331 977 000;247 568 000;259 891 000;271 740 000;464 623 000;198 540 000;239 177 000;345 629 000;222 560 000;137 771 000;151 125 000;121 928 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 647 443 000;2 669 674 000;2 484 197 000;2 447 900 000;2 192 823 000;2 249 466 000;2 237 430 000;2 266 006 000;1 921 002 000;1 947 792 000;1 768 010 000;1 763 829 000;1 947 443 000;2 169 674 000;2 084 197 000;2 012 900 000;1 992 823 000;1 799 466 000;1 737 430 000;1 766 006 000;1 721 002 000;1 677 792 000;1 618 010 000;1 643 829 000;0;0;0;0;0;0;0;0;0;0;0;0;700 000 000;500 000 000;300 000 000;300 000 000;200 000 000;450 000 000;500 000 000;500 000 000;200 000 000;270 000 000;150 000 000;120 000 000;23 228 000;23 043 000;22 858 000;22 673 000;22 488 000;22 304 000;22 121 000;21 938 000;21 745 000;20 785 000;20 602 000;21 394 000;0;0;0;0;0;0;0;0;0;0;0;0
3;НОВОПОКРОВСКИЙ, ООО КБ;467;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОММЕРЧЕСКИЙ БАНК ""НОВОПОКРОВСКИЙ""";350059, Краснодарский кр., г. Краснодар, ул. Волжская/ Им. Глинки, д. 47/77;Корнев Анатолий Анатольевич;11.10.1990;28,5;;В состоянии банкротства;040349808;Краснодарский край;Общества с ограниченной ответственностью;Частная собственность;1 000 000 000;Отозвана Генеральная лицензия на осуществление банковских операций от 04.12.2017;9 067 042 000;8 918 492 000;8 612 153 000;8 857 936 000;8 635 318 000;9 078 689 000;9 547 234 000;9 283 232 000;9 598 588 000;9 516 374 000;9 747 273 000;10 242 111 000;241 594 000;358 886 000;420 781 000;541 848 000;701 545 000;904 524 000;1 423 423 000;973 671 000;1 237 530 000;754 352 000;924 483 000;1 648 010 000;91 126 000;104 459 000;91 587 000;55 432 000;81 527 000;92 828 000;152 366 000;96 734 000;90 758 000;42 596 000;105 679 000;54 158 000;1 986 893 000;1 903 182 000;1 770 060 000;1 750 865 000;1 792 341 000;1 830 811 000;1 572 917 000;1 399 757 000;1 276 991 000;1 299 915 000;1 850 375 000;1 788 486 000;5 099 030 000;4 709 104 000;4 586 547 000;4 768 803 000;4 349 590 000;4 652 439 000;4 602 521 000;4 716 129 000;4 817 065 000;5 161 640 000;5 172 955 000;4 958 380 000;4 252 882 000;3 840 731 000;4 194 758 000;4 369 245 000;3 955 612 000;4 262 316 000;4 228 623 000;4 358 169 000;4 303 747 000;4 157 004 000;4 314 383 000;4 412 630 000;126 606 000;125 627 000;118 080 000;129 292 000;110 364 000;123 060 000;120 516 000;115 973 000;182 122 000;247 767 000;214 548 000;206 795 000;411 225 000;461 169 000;1 034 000;1 059 000;1 110 000;1 180 000;1 330 000;1 325 000;101 287 000;541 325 000;303 644 000;3 759 000;717 226 000;716 358 000;718 015 000;716 318 000;714 383 000;713 054 000;710 366 000;709 730 000;708 691 000;707 012 000;706 800 000;713 503 000;0;0;0;0;0;0;0;0;0;0;0;0
4;РУССКИЙ ИПОТЕЧНЫЙ БАНК (ООО), КБ;1968;"КОММЕРЧЕСКИЙ БАНК ""РУССКИЙ ИПОТЕЧНЫЙ БАНК"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";119180, г. Москва, ул. Полянка Б., д. 2 стр. 2(Бизнес-центр );Вечканова Оксана Яковлевна;14.07.1992;26,5;;В состоянии банкротства;044525526;Москва;Общества с ограниченной ответственностью;Частная собственность;795 564 000;Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 23.11.2018;14 533 117 000;13 885 448 000;14 785 626 000;15 135 762 000;16 315 913 000;17 458 885 000;17 276 077 000;16 519 078 000;15 574 679 000;15 477 133 000;16 276 028 000;16 349 476 000;264 584 000;438 869 000;744 386 000;499 385 000;500 861 000;645 021 000;396 816 000;4 245 444 000;448 650 000;3 455 095 000;1 813 601 000;1 880 979 000;2 823 411 000;2 030 169 000;2 438 942 000;2 862 480 000;4 279 245 000;4 825 632 000;4 696 811 000;255 625 000;3 016 477 000;144 220 000;2 316 944 000;2 188 774 000;471 422 000;537 301 000;680 399 000;691 486 000;535 161 000;591 591 000;626 331 000;623 522 000;695 389 000;1 365 876 000;1 472 047 000;1 391 548 000;9 290 044 000;9 230 741 000;9 242 093 000;9 634 239 000;9 423 787 000;9 870 812 000;10 052 448 000;9 839 314 000;9 533 581 000;8 943 660 000;9 157 030 000;8 927 343 000;6 267 577 000;6 306 608 000;6 552 629 000;6 491 201 000;6 487 837 000;6 839 579 000;6 991 921 000;6 737 061 000;6 436 399 000;5 812 861 000;5 581 053 000;5 689 111 000;2 337 413 000;2 256 769 000;2 063 708 000;2 112 617 000;2 094 506 000;2 270 706 000;2 249 349 000;2 293 642 000;2 303 519 000;2 322 322 000;2 374 383 000;2 395 096 000;278 659 000;277 805 000;275 746 000;676 132 000;376 910 000;277 965 000;281 884 000;279 871 000;279 312 000;279 872 000;681 865 000;282 552 000;658 425 000;656 013 000;653 884 000;651 466 000;649 135 000;646 777 000;644 503 000;642 385 000;640 080 000;637 716 000;523 837 000;910 861 000;349 248 000;421 470 000;517 512 000;519 807 000;431 524 000;492 367 000;525 312 000;527 123 000;522 428 000;322 018 000;343 530 000;411 910 000
5;ИНКАРОБАНК (АО), АКБ;2696;"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""ИНКАРОБАНК"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";125047, г. Москва, ул. Брестская 2-Я, д. 32(Бизнес-центр «Мономах»);Мащев Александр Борисович;15.02.1994;25,0;;В состоянии банкротства;044525124;Москва;Непубличные акционерные общества;Иная смешанная российская собственность;22 002 000;Отозвана Генеральная лицензия на осуществление банковских операций от 31.10.2018, Решение о признании должника банкротом и открытии конкурсного производства от 29.12.2018;1 476 572 000;1 505 776 000;1 440 221 000;1 817 769 000;2 102 820 000;1 598 983 000;1 622 528 000;1 549 941 000;1 563 506 000;1 500 960 000;1 275 523 000;1 464 377 000;23 686 000;25 501 000;14 841 000;19 043 000;84 331 000;27 706 000;23 874 000;44 278 000;52 579 000;127 326 000;83 451 000;108 436 000;57 749 000;41 872 000;32 678 000;333 437 000;267 452 000;153 108 000;216 688 000;119 963 000;113 423 000;118 093 000;34 030 000;156 085 000;421 355 000;423 593 000;381 829 000;386 582 000;390 013 000;190 738 000;133 244 000;64 763 000;11 985 000;62 222 000;215 602 000;217 010 000;778 837 000;819 561 000;845 802 000;862 044 000;1 221 536 000;1 150 280 000;1 149 885 000;1 209 463 000;1 124 501 000;998 522 000;828 167 000;885 148 000;750 892 000;783 986 000;806 772 000;803 763 000;840 782 000;840 612 000;840 884 000;831 133 000;833 286 000;707 737 000;687 710 000;594 184 000;27 945 000;35 575 000;39 030 000;38 281 000;56 974 000;55 888 000;55 221 000;54 550 000;41 215 000;40 785 000;40 457 000;40 362 000;0;0;0;20 000 000;320 000 000;250 000 000;250 000 000;320 000 000;250 000 000;250 000 000;100 000 000;250 602 000;3 302 000;3 098 000;2 896 000;2 780 000;5 104 000;4 676 000;4 404 000;4 131 000;3 858 000;3 589 000;3 522 000;3 302 000;0;0;0;0;0;0;0;0;0;59 694 000;213 083 000;214 548 000
6;СТЕЛЛА-БАНК, АО АКБ;2948;"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""СТЕЛЛА-БАНК"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";344022, Ростовская обл., г. Ростов-На-Дону, ул. Большая Садовая, д. 188А;Ткачева Ирина Александровна;29.06.1994;24,5;;В состоянии банкротства;046015938;Ростовская область;Непубличные акционерные общества;Частная собственность;240 000 000;Отозвана Лицензия на привлечение во вклады и размещение драгоценных металлов от 14.04.2016;2 149 326 000;2 155 981 000;1 973 208 000;1 918 412 000;1 915 597 000;1 951 618 000;2 075 010 000;2 305 313 000;2 035 754 000;1 883 398 000;2 303 276 000;2 453 224 000;265 029 000;316 367 000;141 490 000;158 921 000;306 814 000;329 258 000;424 528 000;779 901 000;355 506 000;393 475 000;420 089 000;504 673 000;308 800 000;219 932 000;284 843 000;199 024 000;195 689 000;266 947 000;294 775 000;351 264 000;479 088 000;291 990 000;718 979 000;665 594 000;63 161 000;63 224 000;63 188 000;60 328 000;57 043 000;57 043 000;57 043 000;57 043 000;57 043 000;57 043 000;33 080 000;33 080 000;1 282 813 000;1 343 031 000;1 268 809 000;1 288 184 000;1 164 944 000;1 107 810 000;1 077 744 000;912 441 000;910 551 000;907 883 000;902 048 000;978 719 000;645 594 000;680 377 000;674 239 000;681 145 000;590 430 000;527 738 000;525 420 000;427 251 000;425 912 000;434 724 000;435 747 000;499 308 000;633 153 000;658 683 000;590 766 000;603 204 000;566 606 000;572 081 000;544 116 000;480 991 000;480 506 000;469 001 000;462 778 000;475 004 000;3 606 000;3 511 000;3 344 000;3 375 000;3 448 000;3 531 000;3 748 000;3 739 000;3 673 000;3 698 000;3 063 000;3 947 000;49 396 000;48 819 000;48 559 000;48 363 000;48 222 000;48 050 000;47 804 000;41 180 000;40 559 000;40 589 000;40 041 000;7 880 000;0;0;0;0;0;0;0;0;0;0;0;0
7;ФИНАНСОВЫЙ КАПИТАЛ, ООО КБ;3288;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОММЕРЧЕСКИЙ БАНК ""ФИНАНСОВЫЙ КАПИТАЛ""";190121, г. Санкт-Петербург, ул. Садовая, д. 121 литера А;Морсков Дмитрий Геннадьевич;03.04.1996;23,0;;В состоянии банкротства;044030741;Санкт-Петербург;Общества с ограниченной ответственностью;Частная собственность;214 611 000;Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 25.10.2016;2 664 260 000;2 431 432 000;2 112 232 000;2 226 593 000;2 171 024 000;2 092 684 000;2 173 803 000;2 514 652 000;1 938 263 000;2 077 122 000;2 002 149 000;1 869 436 000;92 126 000;128 924 000;123 107 000;208 469 000;190 153 000;135 854 000;158 479 000;377 927 000;157 898 000;151 612 000;121 314 000;120 073 000;29 647 000;26 502 000;82 856 000;76 231 000;48 928 000;161 037 000;234 893 000;211 194 000;218 261 000;244 531 000;266 002 000;196 732 000;45 982 000;45 982 000;212 000;212 000;212 000;212 000;212 000;212 000;212 000;212 000;212 000;212 000;1 919 274 000;1 692 546 000;1 376 149 000;1 396 813 000;1 392 275 000;1 224 995 000;1 196 591 000;1 332 708 000;1 056 350 000;1 044 845 000;967 037 000;898 461 000;721 025 000;711 224 000;684 206 000;681 173 000;673 916 000;668 372 000;564 315 000;607 592 000;628 071 000;643 155 000;630 374 000;646 671 000;468 805 000;457 533 000;457 005 000;439 435 000;388 918 000;381 778 000;405 428 000;398 355 000;352 015 000;254 928 000;227 955 000;222 642 000;710 230 000;505 039 000;217 309 000;258 366 000;311 179 000;156 008 000;206 770 000;306 726 000;56 537 000;126 726 000;87 572 000;7 633 000;262 561 000;258 954 000;247 356 000;247 620 000;247 469 000;245 904 000;242 288 000;240 317 000;208 056 000;288 570 000;356 308 000;135 694 000;45 770 000;45 770 000;0;0;0;0;0;0;0;0;0;0
8;МЕЖДУНАРОДНЫЙ РАСЧЕТНЫЙ БАНК, ООО КБ;3028;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОММЕРЧЕСКИЙ БАНК ""МЕЖДУНАРОДНЫЙ РАСЧЕТНЫЙ БАНК""";129366, г. Москва, ул. Космонавтов, д. 8;Эйбоженко Сергей Алексеевич;04.08.1994;24,5;;В состоянии банкротства;044525223;Москва;Общества с ограниченной ответственностью;Частная собственность;240 192 200;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) без права на осуществление банковских операций с драгоценными металлами от 28.03.2019;714 251 000;606 467 000;599 157 000;572 703 000;570 015 000;568 990 000;540 734 000;553 053 000;535 736 000;552 548 000;690 001 000;694 811 000;12 323 000;7 149 000;14 669 000;7 540 000;19 238 000;23 257 000;17 649 000;20 388 000;4 707 000;29 262 000;96 498 000;84 138 000;2 894 000;5 007 000;2 769 000;1 547 000;3 274 000;1 741 000;2 787 000;2 686 000;1 742 000;3 773 000;28 601 000;17 471 000;0;0;0;0;0;0;0;0;0;0;0;0;423 283 000;321 092 000;326 514 000;301 907 000;287 068 000;267 886 000;248 718 000;248 904 000;254 425 000;274 185 000;388 496 000;379 908 000;313 662 000;243 853 000;240 821 000;213 629 000;196 860 000;171 169 000;166 876 000;181 448 000;171 238 000;139 126 000;145 746 000;138 368 000;109 570 000;77 188 000;85 642 000;88 227 000;90 157 000;76 669 000;81 791 000;67 405 000;83 136 000;135 008 000;242 699 000;241 489 000;0;0;0;0;0;0;0;0;0;0;0;0;8 412 000;5 631 000;4 979 000;7 794 000;7 632 000;7 469 000;7 561 000;7 392 000;7 224 000;7 055 000;6 887 000;5 473 000;0;0;0;0;0;0;0;0;0;0;0;0
9;АГРОСОЮЗ, ООО КБ;1459;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОММЕРЧЕСКИЙ БАНК ""АГРОСОЮЗ""";101000, г. Москва, пер. Уланский, д. 13 стр. 1;Майоров Денис Владимирович;17.05.1991;27,5;;В состоянии банкротства;044525322;Москва;Общества с ограниченной ответственностью;Частная собственность;644 000 000;Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 07.11.2018;9 131 683 000;9 872 153 000;9 145 279 000;10 351 540 000;11 197 342 000;12 299 333 000;12 098 515 000;12 264 403 000;12 580 392 000;13 089 477 000;12 762 448 000;13 066 193 000;359 430 000;395 700 000;189 785 000;148 792 000;1 124 199 000;403 218 000;1 292 369 000;1 188 209 000;316 291 000;1 066 743 000;870 090 000;841 923 000;271 883 000;68 320 000;335 072 000;514 006 000;351 116 000;715 220 000;566 035 000;192 622 000;1 426 381 000;615 741 000;1 616 261 000;416 285 000;2 068 009 000;1 992 781 000;1 768 774 000;1 735 044 000;1 791 821 000;1 909 853 000;2 338 189 000;2 347 911 000;2 164 340 000;2 423 258 000;2 442 972 000;2 436 249 000;5 096 191 000;5 556 070 000;5 580 041 000;5 385 489 000;5 695 926 000;6 431 326 000;6 176 755 000;5 937 976 000;6 070 495 000;6 326 618 000;6 142 351 000;7 938 689 000;2 480 929 000;2 807 112 000;2 932 548 000;2 876 144 000;3 100 529 000;3 012 133 000;3 097 945 000;2 947 583 000;2 734 643 000;2 856 940 000;2 747 136 000;2 741 314 000;2 052 658 000;2 041 940 000;1 998 648 000;1 866 271 000;1 720 519 000;1 685 881 000;1 683 636 000;1 677 898 000;1 656 595 000;1 628 688 000;1 553 917 000;1 538 309 000;374 095 000;532 347 000;486 672 000;494 419 000;523 564 000;1 379 693 000;963 679 000;900 958 000;1 282 157 000;1 462 623 000;1 464 490 000;3 399 531 000;627 259 000;628 177 000;204 432 000;203 546 000;203 639 000;204 499 000;202 720 000;202 318 000;318 340 000;319 198 000;319 008 000;331 539 000;100 099 000;0;0;0;0;0;29 863 000;0;0;0;0;0
10;БТФ, АО КБ;1982;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""БАНК ТОРГОВОГО ФИНАНСИРОВАНИЯ""";109012, г. Москва, ул. Никольская, д. 10(Многофункциональный комплекс «Nikol'skaya Plaza»);Тихонов Вячеслав Анатольевич;02.09.1992;26,5;;В состоянии банкротства;044525279;Москва;Непубличные акционерные общества;Частная собственность;490 000 000;Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 28.09.2018;6 219 829 000;5 679 240 000;5 135 265 000;5 269 300 000;5 757 906 000;6 471 523 000;7 048 060 000;6 913 448 000;6 875 118 000;6 926 344 000;6 819 006 000;7 291 983 000;437 259 000;396 888 000;221 354 000;229 536 000;261 994 000;258 695 000;273 867 000;317 535 000;301 474 000;300 557 000;345 949 000;271 067 000;1 048 727 000;820 872 000;754 886 000;825 353 000;1 600 852 000;1 178 013 000;1 278 531 000;1 470 210 000;1 353 084 000;1 810 549 000;643 026 000;706 897 000;166 839 000;127 002 000;77 180 000;76 790 000;67 230 000;67 230 000;67 230 000;67 230 000;66 730 000;66 730 000;66 340 000;65 950 000;3 297 260 000;3 179 505 000;3 090 779 000;2 915 763 000;2 752 391 000;3 374 744 000;3 823 476 000;3 085 243 000;3 620 956 000;3 684 735 000;3 926 005 000;4 157 882 000;2 542 915 000;2 472 349 000;2 350 924 000;2 223 509 000;1 991 641 000;2 154 149 000;2 367 558 000;2 362 913 000;2 386 527 000;2 748 943 000;2 777 789 000;2 997 548 000;578 534 000;556 545 000;553 183 000;553 012 000;614 190 000;646 660 000;681 085 000;697 526 000;659 848 000;560 987 000;722 614 000;734 457 000;158 955 000;133 755 000;169 816 000;122 386 000;129 704 000;557 079 000;757 977 000;7 948 000;557 725 000;357 949 000;408 746 000;409 021 000;412 509 000;414 564 000;308 711 000;308 064 000;310 854 000;313 839 000;313 082 000;309 519 000;289 665 000;288 908 000;216 731 000;88 594 000;166 839 000;127 002 000;77 180 000;76 790 000;67 230 000;67 230 000;67 230 000;67 230 000;66 730 000;66 730 000;66 340 000;65 950 000
